City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,souillac,90,FR,1542072600,100,45.6,-0.6,51.8,6.93
1,gelgaudiskis,80,LT,1542074754,89,55.08,22.98,46.84,15.35
2,ushuaia,20,AR,1542070800,73,-54.81,-68.31,44.6,25.28
3,faanui,92,PF,1542074755,100,-16.48,-151.75,74.65,10.09
4,vaini,0,IN,1542074756,38,15.34,74.49,73.3,4.72
5,khatanga,44,RU,1542074757,69,71.98,102.47,-15.35,9.64
6,rikitea,8,PF,1542074757,100,-23.12,-134.97,73.57,10.42
7,puerto ayora,56,EC,1542074757,100,-0.74,-90.35,71.64,15.01
8,deputatskiy,68,RU,1542074540,71,69.3,139.9,-3.02,2.59
9,esperance,20,TT,1542070800,94,10.24,-61.45,78.8,6.17
10,coruripe,36,BR,1542074758,94,-10.12,-36.18,79.78,11.32
11,arraial do cabo,80,BR,1542074758,95,-22.97,-42.02,74.07,16.13
12,dunedin,76,NZ,1542074759,82,-45.87,170.5,57.01,4.16
13,kodiak,90,US,1542070380,62,39.95,-94.76,24.98,18.34
14,dikson,80,RU,1542074759,100,73.51,80.55,0.04,42.41
15,port macquarie,75,AU,1542070800,50,-31.43,152.91,77.0,12.75
16,chokurdakh,44,RU,1542074760,55,70.62,147.9,-10.54,13.44
17,tasiilaq,92,GL,1542070200,63,65.61,-37.64,30.2,16.11
18,saint-philippe,75,CA,1542074100,77,45.36,-73.48,33.8,3.71
19,kahului,20,US,1542070560,54,20.89,-156.47,84.02,16.11
20,bethel,90,US,1542071580,100,60.79,-161.76,24.08,18.34
21,thompson,40,CA,1542070800,71,55.74,-97.86,6.8,4.7
22,port hedland,0,AU,1542072600,55,-20.31,118.58,86.0,10.29
23,mar del plata,0,AR,1542074764,37,-46.43,-67.52,64.35,15.46
24,pavlogradka,68,RU,1542074575,88,54.2,73.56,17.86,9.31
25,clyde river,1,CA,1542070800,83,70.47,-68.59,-11.21,2.24
26,lebowakgomo,0,ZA,1542070800,63,-24.3,29.54,60.8,1.12
27,hermanus,32,ZA,1542074765,91,-34.42,19.24,53.19,4.05
28,fort nelson,75,CA,1542070800,85,58.81,-122.69,24.8,2.37
29,flinders,0,AU,1542070800,36,-34.58,150.85,80.6,6.93
30,calvinia,8,ZA,1542074767,41,-31.47,19.78,48.69,2.59
31,iqaluit,40,CA,1542070800,77,63.75,-68.52,5.0,3.36
32,pacific grove,1,US,1542072900,33,36.62,-121.92,64.94,1.36
33,hithadhoo,76,MV,1542074768,100,-0.6,73.08,82.62,16.02
34,arua,8,UG,1542074768,94,3.02,30.91,61.42,2.71
35,te anau,0,NZ,1542074769,62,-45.41,167.72,61.69,3.38
36,punta arenas,75,CL,1542070800,66,-53.16,-70.91,48.2,11.41
37,lebyazhye,90,RU,1542072600,100,59.96,29.42,33.8,8.95
38,mala bilozerka,0,UA,1542074770,100,47.24,34.94,27.09,13.67
39,mataura,0,NZ,1542074773,62,-46.19,168.86,63.85,9.08
40,guerrero negro,0,MX,1542074627,47,27.97,-114.04,66.19,18.7
41,lithakia,0,GR,1542072000,87,37.72,20.83,42.8,6.96
42,port elizabeth,90,US,1542073620,78,39.31,-74.98,46.94,6.93
43,bakel,88,SN,1542074775,32,14.9,-12.46,77.22,8.75
44,bredasdorp,12,ZA,1542070800,82,-34.53,20.04,60.8,4.7
45,sao filipe,56,CV,1542074776,100,14.9,-24.5,74.56,17.25
46,bandarbeyla,8,SO,1542074777,100,9.49,50.81,79.2,10.98
47,bluff,0,AU,1542074777,29,-23.58,149.07,88.24,10.65
